blank,blank
abandoned,having been deserted or left.
acclaimed,publicly praised; celebrated.
affectionate,readily feeling or showing fondness or tenderness.
aggressive,ready or likely to attack or confront; characterized by or resulting from aggression.
bewitched,enchant and delight (someone).
bossy,fond of giving people orders; domineering.
bountiful,large in quantity; abundant.
complex,consisting of many different and connected parts.
constant,occurring continuously over a period of time.
considerate,careful not to inconvenience or harm others.
damaged,inflict physical harm on (something) so as to impair its value; usefulness; or normal function.
delicious,highly pleasant to the taste.
delirious,in an acutely disturbed state of mind characterized by restlessness; illusions; and incoherence; affected by delirium.
devoted,very loving or loyal.
enraged,very angry; furious.
evergreen,relating to or denoting a plant that retains green leaves throughout the year.
experienced,having gained knowledge or skill in a particular field over time.
favorable,expressing approval.
flustered,agitated or confused.
glamorous,having glamour.
grotesque,comically or repulsively ugly or distorted.
grouchy,irritable and bad-tempered; grumpy; complaining.
harmonious,tuneful; not discordant.
hospitable,friendly and welcoming to visitors or guests.
humongous,huge; enormous.
immediate,occurring or done at once; instant.
indolent,wanting to avoid activity or exertion; lazy.
infatuated,possessed with an intense but short-lived passion or admiration for someone.
juvenile,for or relating to young people.
known,recognized; familiar; or within the scope of knowledge.
kindhearted,having a kind and sympathetic nature.
lighthearted,amusing and entertaining.
loathsome,causing hatred or disgust; repulsive.
mammoth,huge
medium,an agency or means of doing something.
monstrous,having the ugly or frightening appearance of a monster.
obedient,complying or willing to comply with an order or request; submissive to another's authority.
optimistic,hopeful and confident about the future.
outlandish,looking or sounding bizarre or unfamiliar.
palatable,(of food or drink) pleasant to taste.
polished,shiny as a result of being rubbed.
questionable,doubtful as regards truth or validity.
required,officially compulsory; or otherwise considered essential; indispensable.
responsible,having an obligation to do something; or having control over or care for someone; as part of one's job or role.
sarcastic,marked by or given to using irony in order to mock or convey contempt.
secondary,coming after; less important than; or resulting from someone or something else that is primary.
squeaky,having or making a high-pitched sound or cry.
talkative,fond of or given to talking.
tight,stretched so as to leave no slack; not loose
unhealthy,harmful to health.
