blank,blank
I'm king of the world!,TITANIC
I'm going to make him an offer he can't refuse.,Godfather
I'm walking here!  I'm walking here!,MIDNIGHT COWBOY
That rug really tied the room together.,The Big Lebowski
It's alive!  It's alive!,Frankenstein
I'll be back. ,Terminator
Say hello to my little friend!,SCARFACE 
Here's Johnny! ,The Shining
Nobody puts Baby in a corner.,Dirty Dancing
may the force be with you,Star Wars
E.T. phone home.,E.T.
You can't handle the truth!,A few good men
Great Scott!,Back to the future
